Timestamp,Eye_R,Eye_G,Eye_B,Eye_Hex,Lips_R,Lips_G,Lips_B,Lips_Hex,Cheek_R,Cheek_G,Cheek_B,Cheek_Hex,Hair_R,Hair_G,Hair_B,Hair_Hex
2025-04-05 14:32:52,35,34,33,#232221,81,49,44,#51312C,214,142,118,#D68E76,79,59,45,#4F3B2D
2025-04-05 14:32:52,38,33,36,#262124,94,55,54,#5E3736,214,144,120,#D69078,80,57,46,#50392E
2025-04-05 14:32:52,38,33,35,#262123,82,46,45,#522E2D,213,143,119,#D58F77,77,57,47,#4D392F
2025-04-05 14:32:52,40,33,34,#282122,84,48,46,#54302E,214,142,117,#D68E75,78,58,48,#4E3A30
2025-04-05 14:32:52,41,32,33,#292021,87,49,46,#57312E,212,141,116,#D48D74,78,58,44,#4E3A2C
2025-04-05 14:32:52,39,30,36,#271E24,86,48,46,#56302E,212,141,116,#D48D74,75,57,45,#4B392D
2025-04-05 14:32:52,38,29,29,#261D1D,89,50,46,#59322E,211,141,116,#D38D74,76,59,47,#4C3B2F
2025-04-05 14:32:52,56,38,34,#382622,87,50,46,#57322E,211,140,116,#D38C74,75,55,49,#4B3731
2025-04-05 14:32:52,46,28,25,#2E1C19,87,50,45,#57322D,212,141,116,#D48D74,80,57,46,#50392E
2025-04-05 14:32:52,41,28,24,#291C18,89,51,47,#59332F,212,141,117,#D48D75,77,56,46,#4D382E
2025-04-05 14:32:53,42,30,29,#2A1E1D,81,50,45,#51322D,211,141,115,#D38D73,76,55,46,#4C372E
2025-04-05 14:32:53,42,32,31,#2A201F,187,152,142,#BB988E,214,144,117,#D69075,75,54,43,#4B362B
2025-04-05 14:32:53,47,43,42,#2F2B2A,177,133,118,#B18576,220,148,121,#DC9479,76,56,44,#4C382C
2025-04-05 14:32:53,38,33,34,#262122,173,122,111,#AD7A6F,218,152,116,#DA9874,72,51,39,#483327
